date,ticker,close_price
2024-01-01,ALPH,213.61
2024-01-02,ALPH,215.21
2024-01-03,ALPH,216.63
2024-01-04,ALPH,221.39
2024-01-05,ALPH,218.86
2024-01-08,ALPH,216.62
2024-01-09,ALPH,214.18
2024-01-10,ALPH,210.2
2024-01-11,ALPH,198.84
2024-01-12,ALPH,202.95
2024-01-15,ALPH,206.58
2024-01-16,ALPH,200.14
2024-01-17,ALPH,198.49
2024-01-18,ALPH,195.55
2024-01-19,ALPH,192.82
2024-01-22,ALPH,184.31
2024-01-23,ALPH,182.02
2024-01-24,ALPH,184.44
2024-01-25,ALPH,194.48
2024-01-26,ALPH,196.24
2024-01-29,ALPH,196.9
2024-01-30,ALPH,194.92
2024-01-31,ALPH,192.61
2024-02-01,ALPH,196.59
2024-02-02,ALPH,197.94
2024-02-05,ALPH,195.45
2024-02-06,ALPH,191.41
2024-02-07,ALPH,190.91
2024-02-08,ALPH,188.92
2024-02-09,ALPH,189.04
2024-02-12,ALPH,188.27
2024-02-13,ALPH,189.96
2024-02-14,ALPH,185.06
2024-02-15,ALPH,189.44
2024-02-16,ALPH,200.63
2024-02-19,ALPH,205.81
2024-02-20,ALPH,206.91
2024-02-21,ALPH,210.89
2024-02-22,ALPH,206.59
2024-02-23,ALPH,199.89
2024-02-26,ALPH,203.28
2024-02-27,ALPH,201.14
2024-02-28,ALPH,195.62
2024-02-29,ALPH,192.15
2024-03-01,ALPH,187.74
2024-03-04,ALPH,188.41
2024-03-05,ALPH,190.86
2024-03-06,ALPH,194.56
2024-03-07,ALPH,198.36
2024-03-08,ALPH,201.65
2024-03-11,ALPH,200.93
2024-03-12,ALPH,198.46
2024-03-13,ALPH,192.33
2024-03-14,ALPH,196.91
2024-03-15,ALPH,196.33
2024-03-18,ALPH,194.79
2024-03-19,ALPH,199.76
2024-03-20,ALPH,196.15
2024-03-21,ALPH,199.73
2024-03-22,ALPH,201.13
2024-03-25,ALPH,196.91
2024-03-26,ALPH,196.74
2024-03-27,ALPH,200.91
2024-03-28,ALPH,204.42
2024-03-29,ALPH,210.99
2024-04-01,ALPH,212.64
2024-04-02,ALPH,227.85
2024-04-03,ALPH,223.63
2024-04-04,ALPH,221.93
2024-04-05,ALPH,221.81
2024-04-08,ALPH,215.38
2024-04-09,ALPH,220.26
2024-04-10,ALPH,224.6
2024-04-11,ALPH,224.86
2024-04-12,ALPH,222.51
2024-04-15,ALPH,215.7
2024-04-16,ALPH,212.3
2024-04-17,ALPH,215.77
2024-04-18,ALPH,214.98
2024-04-19,ALPH,213.22
2024-04-22,ALPH,215.62
2024-04-23,ALPH,221.03
2024-04-24,ALPH,222.39
2024-04-25,ALPH,224.03
2024-04-26,ALPH,230.65
2024-04-29,ALPH,231.67
2024-04-30,ALPH,230.35
2024-05-01,ALPH,233.78
2024-05-02,ALPH,232.7
2024-05-03,ALPH,231.08
2024-05-06,ALPH,237.43
2024-05-07,ALPH,236.16
2024-05-08,ALPH,223.18
2024-05-09,ALPH,224.97
2024-05-10,ALPH,223.28
2024-05-13,ALPH,222.09
2024-05-14,ALPH,224.37
2024-05-15,ALPH,223.76
2024-05-16,ALPH,224.94
2024-05-17,ALPH,215.57
2024-05-20,ALPH,211.47
2024-05-21,ALPH,217.86
2024-05-22,ALPH,217.95
2024-05-23,ALPH,210.46
2024-05-24,ALPH,205.89
2024-05-27,ALPH,201.76
2024-05-28,ALPH,202.34
2024-05-29,ALPH,200.66
2024-05-30,ALPH,198.04
